comment_id,reply_to_comment_id,comment_nr,content_id,comment_text,LABEL
31,,23,6,Deja ncepe sa miroase a comunism deja încep sa retrăiesc ani înainte de 89 cind era armata obligatorie adică accea lege care se dezbate acuma cu rezervisti. Plus ca nu se știe cu gazu și curentu deja este iz de comunism se pare ca democrația a funcționat doar asa dar se pare ca tot acolo o sa ajunge,0
32,31,24,6,@Mari: in israel armata e obligatorie si pt femei si acolo nu e comunism,0
33,31,25,6,@dani: acolo nu este sexism,0
34,,28,6,Da acuma cu toți la război. Dar pina acuma armata și politia salari mari pensii mari și specialePensionați la 45 de ani acuma la război sint bun cealaltă categoria care nu o avut benefici și tineri nui corect acuma e patria tuturor și trebe apărată la rău suntem toți la bine numa uni,0
35,,29,6,"In anul 2022 nimeni nu ar trebui sa fi dispus sa lupte,astfel nu ar mai fi nici razboaie...",0
36,35,30,6,"@2022: Corect. S-ar presupune ca in sec. 21 omenirea a invatat ca nu pornind lupta cu arme si ucigand se rezolva divergentele. Dar, nu. Tot in epoca de piatra suntem. Inca se da in cap la"" vecin sa-i iei nevasta si bunurile "".",0
37,35,31,6,@2022: Fa cumva si suna-l pe Putin si spune-i...,0
38,35,32,6,"@2022: cred ca asta este mesajul corect, nu toata isteria asta care nu duce la nimica bun",0
39,35,33,6,"@2022: corect, si lui putin trebuie sa ii spunem asta. si cum trece criza asta, in loc sa crestem procentul destinat apararii de la 2 la 2,5% din pib, as prefera sa il scadem la 1%, iar diferenta sa fie alocata pentru a compensa masuri economice dure contra rusiei, pentru ca orice agresor sa stie ca nu mai toleram asta",0
40,,34,6,Cine o beneficiat privilegii sa apere tara noi cu salariul minim și ținuți în sărăcie tara nu o făcut nimic pentru noi,0
41,40,35,6,"@Mari: daca muncesti pe salariul minim inseamna ca aia iti e pregatirea..atat ai invatat , atat primesti..arata mi un mecanic , zidar , zugrav,tamplar,dulgher,faianțar,strungar,electrician , care munceste pe salariul minim",0
42,40,36,6,"@Mari: Faza e ca in Ukraina au salarii mai mici decat noi si tot au luptat diferenta este ca au fost incercati de un mini razboi in 2014 si sau pregatit. Noi nu suntem pregatiti, deaia guvernantii nostri le intind covoare rosii la americani si restul. Cei din Est stiu treaba asta mai ales ca americanii au trimis 1-2-3k de trupe care sunt doar carne…de tun ca sa dea bine la alianta. Problema americanilor este China nu Rusia. Deaia vor sa slabeasca Rusia prin sanctiuni sa nu fie capabili sa-i ajute pe chineji. NATO cadru militar si UE cadru economic e doar o perdea a americanilor sa slabeasca puterea rusilor astfel incat sa se ocupe de chineji pentru ca ei sunt o putere mondiala nu Putin cu armata lui de 2 lei.",0
43,40,37,6,@Stop Razboi: asta trebuie urmarit!!!,0
44,,39,6,"normal...ca doar eu is ""bo.z.gor""; adica ungur fara tara, ce plm sa apar aici...nici ""ciorile"" nu s-or duce ca pe ei ii trimiteti in india...da rrumanilor acuma meret in plm si aparativa tara....",2
45,44,40,6,"@andi: deci romanii verzi reprezinta doar 26%.De ce naiba mai lateam ca suntem majoritari? Fug si romanii ca sobolanii, fii cuminte.",0
46,,41,6,ce sa aperi averile furate si serviciile lenesilor si a celor prosti.. sa o creada ei..,0
47,46,42,6,"@militarul: pai o aperi pe mă-ta ,pe sor'ta pe nevasta ta .copii daca ai , daca nu.ai fost putoare si ti-ai facut o casa , apartament le aperi si.pe alea...ai ce apara daca vrei",0
48,46,43,6,@adi: Care apartament? Ai vazut ce preturi sunt? It permiti maxim 11 mp. Ti-e frica ca vine Putin si te baga intr-una mai mica de 11?,0
49,46,44,6,:)))))))),0
50,,45,6,"ce sa aperi? Romania e o colonie, mai bine la bulau decat in lupta altora",0
51,,46,6,de 75 de ani nu a fost razboi in romania sa meara Man isti cu pensi si salari nesimtite politisti militieni si securisti ca de aia ii platim sa meara sa stea sa ne apere de dusman pe granita,0
52,51,47,6,@lulu: ma ametitule iti dau 1 leu caci cu atat ma plătești tu pe mine ca sa dormi liniștit noaptea javra ordinara,1
53,51,48,6,la lupta cu voi...@Xrr:,0
54,51,49,6,"@lulu: Itisiti sau cum le zici tu platesc pensii la ma-ta care a lucrat impinsa de la spate sa stii treaba asta asa ca du-te si fa o fapta buna romaniei si lupta, nu astepta sa ti se dea pentru ca democratia nu e comunism, comunistule!",0
55,51,50,6,"@Xrr: Iti doresc sa primesti 1 leu pe luna... nemultumitu-le iesit la pensie la 40-45 de ani, care ai carat toata viata ta HARTII... lupta poala",0
56,,51,6,"Vom lua exemplu lui Ceausescu, in puscarie macar esti protejat, pazit, nu mori de foame.",0
57,56,52,6,"@ceausescu: pe vreme de razboi puscariasii sunt bagati in prima linie , carne de tun..",0
58,56,53,6,"@antonescu: Daca ii prinde careva, da.",0
59,,54,6,"Am mai trecut personal printr-o situație de genul ""puțini am fost . . . mulți au ŕămas"" .Și tot PERSONAL sunt convins că mai puțin de 1 % au atîta sînge în INSTALAȚIE ca să-si apere ""sărăcia și nevoile și neamul"".Și da au justificări:lipsă dotare,lideri energici și competenți,MOTIVAȚIE etc . . .Ďar dacă vrei găsești VERTICALITATE MORALĂ.…Și dacă ai avut ocazia să spui ""jur să-mi apăr țara chiar cu prețul vieții(cît mai multor rusi) există un punct de început .Restul sint povesti de fugăriți spuse în fugă . . .",0
60,59,55,6,@S-68: Si mai e o chestie! Vreau Ardealul si Banatul AUTONOM!!! Sa nu mai dam bani la mitici si sa primim p.oala... Pana cand sa-i tinem???!!!,0
61,,56,6,"In cluj trebuie aparati cetatenii de onoare, mocanii si taganii lui boc din primarie, spagarii din tribunal, respectiv judecatoarele si procurorii de pe langa judecatorie si politistii blonzi cu ceafa lata zisi si rusofoni veniti in oras de pe coclaurile din satu mare, ar merita aparate curvele care si filmeaza pizdele pe internet, astea is bun national,…astea saracile fac productie si alimenteaza bugetul",2
62,,57,6,"Nu e clar ce trebuie apărat, industria, producțiile la hectar, resursele, gazele, rafinăriile, siderurgia, ARO, Tractorul, Autocamioane, cimentul, tezaurul, lingourile duse la Londra, pădurile defrișate de hiene din offshore, insula Mare, sau șeptelurile de politruci diletanți ?",0
63,62,58,6,"@relax: in primul rand o.aperi pe mă-ta , pe tac'tu ..nevasta ,copii si ce ai agonisit pana la varsta ta , asta daca nu ai fost trantor si ai stat prin ""scoli""pana la 35 de ani",0
64,62,59,6,"@nicu: Am facut pasaport pentru fiu-meu de 3 ani, toti din familie avem pasapoarte, la primul semnal ca porcii din guvern ar vrea sa faca mobilizare, cu totii o uschim in Austria sau Elvetia, sau Finalnda sau oricare alta tara neutra. Sa lupte cei cu pensii speciale si odraselele politicienilor si functionarilor publici. Noi, nu avem pentru ce si mai…ales pentru cine sa luptam!",0
65,,60,6,"De ce sa lupti pentru o tara condusa de Iohanis, Catu si Ciuca? Sa lupte ei si lipitorii lor de afise. Sa lupte nesimtitii cu pensii speciale ca la 45 de ani nu-s asa batrani.Eu unul voi castiga cam la fel oriunde merg, poate chiar mai bine in unele tari. Specialii si lipitorii de afise nu. Si ma indoiesc ca in Rusia nu se zugravesc casele.",0
66,65,61,6,"@ : aia is marionete, tara e condusa din exterior, nu mai apartine romanilor",0
67,65,62,6,"@ : natiune dev*****, formata din cacaciosi ca tine. Lasi si plini de impirtanta lor. Pleaca dracului si nu mai veni. Cretin",1
68,65,63,6,"@Flor: Cretini sunt toti care merg sa moara sau sa fie ciungi pentru a apara averea miliardarilor, in timp ce ei isi permit maxim o garsoniera de 11 mp. Asa cretini au fost si acum 80 de ani, cand s-au trezit din prostie au cerut plata pentru moartea cretinilor, asa s-a ajuns la comunism.",0
69,,0,7,Militia locala =boschetari!,1
70,69,1,7,Câini comunitari!,0
71,,2,7,"Deci dupa logica unora de pe aici, ma duc maine acolo cu in 3.0 TDI si daca imi iau tichet pot bloca o saptamana statia de incarcare pentru masini electrice... ca mna... are ""logica"" in capul lor :))))))",0
72,71,3,7,"@Kyro: Idiot. Ala e loc de parcare (platibil) pentru masini electrice, cu posibilitatea de a o incarca gratis. Ce-i asa de greu sa intelegi?",0
73,71,4,7,"@ttt: Dar tu intelegi ca nu exista asa ceva in nici o tara cu media de IQ peste 15?Dar mna, voi ii lingeti cureaua la Boc in continuare ... indiferent cate legi si contracte incalca",0
74,71,5,7,"@Kyro: Iti recomand Napoli, vezi daca gasesti un loc de parcare gratis pentru electrice. Si daca nu, sa-i manci peleul lui Boc, tu si macaronaru' cu Tesla, impreuna!",1
75,71,6,7,"@ttt: Deci e mai bine sa dea ture in oras decat sa stea oprit, ca turele-s gratis, oprirea costa.",0
76,71,7,7,"@ttt: Tu care parte din ""incarcator + loc = statie de incarcare"" nu o intelegi? vrei sa iti desenez?",0
77,71,8,7,@Kyro: poti sa ne spui cate din tarile la care te referi tu iti dau curentul pe gratis?,0
78,71,9,7,"@ttt: De ce jignesti? In aceasta chestiune are dreptate!! Si daca exista (prin absurd)vreo lege sau vreun regulament local care dispune altceva, trebuie afisate in apropiere, ca sa se vada bine. Altfel amenda este un abuz, politistii locali sunt niste giboni mafioti, iar Romania este un stat mafiot.",0
79,,10,7,"Omul are dreptate!!Nu se plătește acolo, primărie Cluj mafioți toți.Eu parchez de 1 an acolo, și poliție nu ma amendat niciodată.Femea ala trebuie sa dea demisie pt acest abuz.",0
80,79,11,7,@Sorin Zoe electric : eu am parcat f mult pe centru si nu am fost amendat niciodata. Oare nu se platesc parcarile pe centru?,0
81,,12,7,"In Bucuresti masinile electrice si hibrid parcheaza de cativa ani gratuit in centru. Noa, ei nu sunt smart-city si nici nu sunt condusi de mocani.",0
82,81,13,7,@Eu: da nu incarca gratis. Trebuie sa fie un echilibru. Ori ori,0
83,,14,7,Curentul si costul costul statiilor de incarcare Nu sunt din Banii Clujenilor ci din Fonduri Europene.,0
84,,15,7,"no... curent gratis si parcare gratis...daca romania e india, recomand sa mergeti in india.Oare ceilalti au platit parcarea si de aceea nu au primit amenda?",0
85,84,16,7,"@ddd: Tu chiar nu pricepi, sau te faci ca nu pricepi? Este o statie de incarcare masini. Nu scrie pe nicaieri ca si acolo trebuie sa platesti parcare, daca tu esti acolo cu un alt scop: sa-ti incarci masina, nu sa iti parchezi masina. Dar daca administratia locala are aceasta pretentie, trebuie sa puna o tablita, ceva. De unde sa stie omul ca e parcare/statie…de incarcare? Atunci vine toata lumea si parcheaza, fara sa incarce. Iar cei care incarca nu mai au loc la statia de incarcare. Se pune intrebarea: daca domnul respectiv a fost amendat dupa aproape 30 min, asta inseamna ca Politia Locala sta de panda, pentru ca alta treaba nu are. Daca alta treaba nu are, Politia Locala platita cu bani grei din bugetul local e cam inutila.",0
86,84,17,7,@bla-bla: Lu sfarsit un comentariu corect. Așa este,0
87,84,18,7,"@bla-bla:1. Scrie ca trebuie platita parcarea.2. Nu conteaza daca l-a amendat dupa 30 de minute. Voiai sa-l amendeze dupa 5 minute? Atunci italianul ar fi spus ca nici nu a apucat sa plateasca parcarea ca l-au si amendat. I-a dat timp suficient sa plateasca parcarea, 30 de minute. In plus, politista locala poate era pe alta strada, deci nu…conteaza ca l-au amendat dupa 30 de minute.3. Nu-mi place politia locala, dar in cazul asta amenda a fost corecta.",0
88,84,19,7,@Numa' zic:Nicăieri,0
89,84,20,7,"@Numa' zic: Unde scrie , sper ca macaronarul sa dea in judecata Bocăria si sa ceara despagubiri babane.",0
90,84,21,7,"@bla-bla: este afis cu inscructiuni si scrie ca trebuie platita parcarea. Daca te intereseaza adevarul poti sa mergi sa verifici, inainte sa scri.",0
91,84,22,7,"@xic numa': si eu zic sa dea in judecata, numa bine amenda ii creste prin plata cheltueliilor de judecata pt 2 parti.",0
92,84,23,7,"@Numa' zic: Parcarea da. Dar unde scrie Statie incarcare = Parcare conform Hotararii CL, etc??",0
93,,24,7,"Eu zic că Miron Cozma are ceva cu el, a vrut să-l vadă jos.Se termină rapid și cu harneala asta cu electricul. A rezolvat Putin și problema asta. Doamne ajută! Cu cat mai repede intra petrolul la putere cu atât mai bine. E o chestiune de timp doar.",0
94,,25,7,"Invidia , rautate, si analfabetism va manca in cu.r :)))Comunisti shhhhhhhhNu se plateste parcare acolo!!",0
95,94,26,7,"@Comentari Filoruși : Și eu am masina electrică și nu am plătit in vieți acolo.Pai da este un abuz, sau locală nu a știut.",0
96,,27,7,"Este un abuz. O stiu si gibonii de la locala, o stiu si gibonii care comenteaza mai jos negativ, pe motiv ca omul e italian. Si daca e italian, ce? Nu are voie sa-si incarce masina fara sa fie buzunarit, nu are voie sa semnaleze un abuz? Ba sa nu plece acasa, ca sunt destui romani si in Italia si nu sunt trimisi acasa. Eu ii transmit sa conteste amenda,…ca sa mai puna un cui la sicriul a ceea ce frumos numim ""Politia Locala""!",0
97,96,28,7,@bla-bla: Nu suntem departe de ruși.,0
98,,29,7,"Ai dreptate frate. Mai bine ar face ceva util in Cluj, cainii astia comunitari decat saumble cu prostii",0
99,,30,7,Curentul Electric si costul Statiilor Nu sunt din Banii Clujenilor comunisti ci din Bani Europeni si Fonduri Nerambursabile.,0
100,99,31,7,@in Europa si alte zone Electricele parcheaza Gratis: si banii aia 'europeni' de cine sunt platiti? Ca si romanika contribuie la acele fonduri.,0
101,99,32,7,@in Europa si alte zone Electricele parcheaza Gratis: curentul e platit de eu? cum ai ajuns la concluzia asta?,0
102,,33,7,Asta e iltalianu cu Teszla care tot timpul cauta scandal !Ia mai da-te in szlobosz.Iar acum sariti cu tiganizme !,1
103,102,34,7,"@Asta ii Italianu cu TESZLA ?!:El da, dar tu esti Romanul cu dacie :)))",0
104,,35,7,DESFIINTAREA POLITIEI LOCALE acolo sunt numai abuzuri..uitati-va cate procese au pe rol la Instantele de judecata....cine le plateste daunele daca pierd.......va spun eu PRIMARIA din banii nostrii!!!!!Asta este smecheria....noil le plastim si salariile si iINCOMPETENTA...!!!!!,0
105,104,36,7,"@nelutu: daca se desfiinteaza politia locala, clujul o sa fie intradevar india, asa cum zice nenea italianu. la cat de multe masini sunt si cum se abuzeaza de lasat masinile pe unde apuca fiecare, ar fi dezastru",0
106,104,37,7,@nelutu: Oligarhule care esti... ;),0
107,,38,7,"Macaroni, spagheti, mafioza...este una abuzo de la primeria Cluj. Eu am Tezla si nu poate incarcare gratuito in timp ce eu **** o cafea pe centru. Eu am banii dar numai pentru impresionare ragatza de 17-18 anii care este fomista.",0
108,,39,7,"alt semianalfabet cu tesla care face figuri, normal ba prostule ca tre sa platesti parcare.... ...au la el, el ne apara .... sa marga la el acasa vinyitura pooli...",1
109,108,40,7,"@andi: Noi muică suntem vinituri,el e latin, pe când noi suntem mongoli.Iar tu ești făcut cu bunicul tău, dinaia ești așa de prost,urâcioși,invidios.",1
110,108,41,7,"@Mama lui Andy : macar io am un mama si un tata, in timp ce tu esti din traian si decebal....",0
111,108,42,7,"@andi: Categoric hungure,Băiatul lu Traienică s a cuplat cu fetul lui Decebal și a ieșit super poporul Român.No vede la tu ce și eu am la io un mamă și o tată.",0
112,,43,7,"Vrei parcare gratis, macaronarule? Pune-o la tine in curte.Si scuza cu ""nu am stiut"" nu tine ca iti incarci masina acolo zilnic. Ai fost zgarcit si atata tot.",0
113,,44,7,"Si de unde sa strie cineva care a primit informatia , ca e gratis la incarcat la Cluj, ca e smart totul, ca avem cel mai destoinic primare din galaxia nostra si nu numai, ca exista un paragraf al HCL? Oare era atat de greu sa montezi un panou cu aceste informatii in zona statiilor de incarcat? O fi existand asa ceva dar pe alt undeva. Deci smartul e…cam tampit ori geniu neinteles.",0
114,113,45,7,"@Bocaiala: Necunoașterea legii nu te exonerează de consecințele derivate din nerespectarea/încălcarea ei. Oriunde ai fi și de oriunde ai merge, trebuie sa te documentezi despre legile/regulile din țara/locul respectiv.",0
115,,46,7,"Mă uit la unii frustrați care comentează că broscar,că are Tesla mai zabalosilor care sunteți niște disperați de viață și excremente care respirați aerul degeaba păi are dreptate omul că e italian că e turc că este țigan că este român omul a fost amendat pentru că își încărca mașina în standul de încărcare special pentru astfel de autoturisme. Gara…aloooo garaaaa,taranoiaaaa care te-ai mutat de la Dîlga la Cluj și comentezi aiurea ești chiar prost? Omul care o fi el a fost amendat de miliție că își încărca mașina electrică. Doamne câtă prostie mă bucur că am părăsit orașul decât să stau cu astfel de bananieri care nici apa nu merită. O fi trecut și ăsta cu Tesla pe tablă dimineața cu specificația ""amendați Tesla unde o prindeți"" JOSNIC JOSNIC",1
116,115,47,7,@Țăranii proști vorbesc și ei: plimba ursul tarane,0
117,115,48,7,"@jet: Tu esti taran cu mica-ta si cu 320d-ul tau din 2001,cocalare",1
118,115,49,7,@Țăranii proști vorbesc și ei: si el are dreptate pt ca e italian si are tesla?,0
119,115,50,7,"@1: ba tu esti taran,tarane!",0
120,115,51,7,"@Țăranii proști vorbesc și ei: Taran ești tu, dar și prost grămadă; omul a fost amendat pentru neplata parcării, nu pentru încărcare. Nu faceți pe prostii și nu mestecați kkt-ul, în Londra era și remorcat și cătat in afara orașului. Parcarea se plătește. E greu de înțeles sau să-ți traduc?",1
121,,52,7,E a 10 a oara cand citesc despre acest broscar obraznic. Pai ma dute n mor.tii tei in italia fmm de mafaronar,1
122,121,53,7,@Carlos: ești mai prost decât prevede legea prostiei ai bătut recordul în materie de prostie asta înseamnă să fii prost de mic când crești mare numai te joci,1
123,121,54,7,"@Carlos idiotul :Ai dreptate! Astia traiesc intr-un univers paralel cu valori rasturnate. Sau mai pe romaneste, niste idioti sadea! Nu ai cum sa ii convingi de propria prostie, nu ai cum sa-i inveti ceva. Si din pacate sunt destui.",0
124,,55,7,asta e faimosul italian cu tesla?,0
125,,56,7,"curentul si statiile nu sunt din banii Clujenilor comunisti rusofili ci din Banii Europeni, Fonduri Nerambursabile, etc.",0
126,,57,7,"„Stațiile de încărcare administrate de Serviciul Public de Interes Local pentru Administrarea Parcărilor oferă posibilitatea încărcării autoturismelor în regim gratuit, singură taxă aplicată este taxa de parcare, în confomitate cu HCL 776/2021, zona tarifară (1 sau 2), în funcție de strada unde este amplasată stația de încărcare”, au precizat, pentru…Ziar de Cluj, reprezentanții Primăriei Cluj-Napoca.",0
127,126,58,7,"@dan: Saracul cu Tesla, trebuie sa incarce bateriile pe banii nostri ?!?!?! Adevarul e ca in Clujul zilelor noastre, nimic nu ne mai poate mira !",0
128,126,59,7,"@hopa: Bani noștri ?? :)))Ce comentariu pr0st, se vede clar ca nu ai scoli",0
129,126,60,7,"@dan: Prin lege trebuie stelp acolo, nu este nimic pana la 100 de metri, este păcăleala românește pur simplu.",0
130,126,61,7,"@Bani pul4: Daaa, dovedesti tu ca ia scoala, se vede din nume... Garantat, am mai multi ani de scoala (fara bis-uri) decat toata familia ta, la un loc. Nu de alta, dar pentru incultura ta generala, sunt cadru didactic universitar, cu doua diplome de licenta, si doua masterate, un doctorat. Daca incarca electrica (care prin constructia bateriei polueaza…mai mult decat un diesel pe durata lui de folosire...) gratuit in locurile amenajate de primarie, este furt din banul public !",0
131,,62,7,DESFIINTAREA POLITIEI LOCALE..acolo in fiecare saptamana este cate o prostie cat CHINA......Bontidene de erai la POLITIA NATIONALA ERAI DE MULT PE LIBER DACA SE INTAMPLA ASA CEVA...dar aici vad ca sunt alte reguli pe banii clujenilor.....PANA CAND ACEASTA INSTITUTIE ISI BATE JOC DE CETATENI PE BANII CONTRIBUABILULUI.......ABUZURI PESTE ABUZURI..pe…care nimeni nu le sanctioneaza!!,0
132,,63,7,Nu ti rusine mai italianule? Alimentezi masina pe banii Clujenilor si tot esti nemultumit? Du-te inapoi in Spahgetti Land,0
133,132,64,7,@xy: cât amenzi au dat astăzi?,0
134,132,65,7,@xy: in Europa si Vest masinile Electrice parcheaza Gratis ... Gratis ... deci in Clujistanul comunistilor rusofili ... se taxeaza.,0
135,132,66,7,@statiile si curentul sunt pe bani europeni: Dar nici nu a pretins nimeni bani pentru curent ci doar pentru parcare. Ia spune în ce țară europeană în centrul orașului parcarea e gratis? Vaxeuvam fist in multe locuri și pot să-ți spun că nu-i nicăieri 2-3 lei ora.,0
